Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,location
YS Chahal,4.0,0,29,0,7.25,10,3,1,0,0,"M.Chinnaswamy Stadium, Bengaluru"
Mohammed Siraj,4.0,0,40,2,10.0,8,4,1,4,0,"M.Chinnaswamy Stadium, Bengaluru"
M Ashwin,4.0,0,36,2,9.0,8,4,1,1,0,"M.Chinnaswamy Stadium, Bengaluru"
TA Boult,4,0,48,0,12.0,10,6,3,0,0,"Maharashtra Cricket Association Stadium, Pune"
Avesh Khan,4,0,28,0,7.0,11,1,2,1,0,"Maharashtra Cricket Association Stadium, Pune"
R Tewatia,2,0,23,0,11.5,2,1,2,0,0,"Maharashtra Cricket Association Stadium, Pune"
LE Plunkett,3,0,52,0,17.33,2,2,6,0,0,"Maharashtra Cricket Association Stadium, Pune"
A Mishra,4,0,30,1,7.5,4,1,1,0,0,"Maharashtra Cricket Association Stadium, Pune"
V Shankar,2,0,22,1,11.0,4,3,0,2,1,"Maharashtra Cricket Association Stadium, Pune"
GJ Maxwell,1,0,5,1,5.0,2,0,0,0,0,"Maharashtra Cricket Association Stadium, Pune"
L Ngidi,4,0,26,1,6.5,12,2,1,2,0,"Maharashtra Cricket Association Stadium, Pune"
KM Asif,3,0,43,2,14.33,5,6,2,1,0,"Maharashtra Cricket Association Stadium, Pune"
SR Watson,2,0,27,0,13.5,2,2,2,0,0,"Maharashtra Cricket Association Stadium, Pune"
RA Jadeja,4,0,31,1,7.75,6,2,1,1,0,"Maharashtra Cricket Association Stadium, Pune"
Harbhajan Singh,4,0,26,0,6.5,8,1,1,1,0,"Maharashtra Cricket Association Stadium, Pune"
DJ Bravo,3,0,43,0,14.33,3,2,4,1,0,"Maharashtra Cricket Association Stadium, Pune"
JP Duminy,2,0,28,0,14.0,5,2,3,0,0,"M.Chinnaswamy Stadium, Bengaluru"
MJ McClenaghan,4,0,34,1,8.5,13,1,3,1,1,"M.Chinnaswamy Stadium, Bengaluru"
JJ Bumrah,4,0,22,1,5.5,9,0,1,0,0,"M.Chinnaswamy Stadium, Bengaluru"
KH Pandya,4,0,24,0,6.0,11,1,1,0,0,"M.Chinnaswamy Stadium, Bengaluru"
M Markande,3,0,28,1,9.33,7,4,1,0,0,"M.Chinnaswamy Stadium, Bengaluru"
HH Pandya,3,0,28,3,9.33,8,2,2,0,1,"M.Chinnaswamy Stadium, Bengaluru"
TG Southee,4,0,25,2,6.25,14,3,1,1,0,"M.Chinnaswamy Stadium, Bengaluru"
UT Yadav,4,0,29,2,7.25,11,3,0,2,0,"M.Chinnaswamy Stadium, Bengaluru"
Mohammed Siraj,4,0,28,2,7.0,7,2,0,3,0,"M.Chinnaswamy Stadium, Bengaluru"
YS Chahal,4,0,23,0,5.75,14,2,0,3,0,"M.Chinnaswamy Stadium, Bengaluru"
Washington Sundar,1,0,15,0,15.0,0,1,1,0,0,"M.Chinnaswamy Stadium, Bengaluru"
C de Grandhomme,3,0,28,0,9.33,7,2,1,1,0,"M.Chinnaswamy Stadium, Bengaluru"
